id,month,year,region,population,pulmonary_tuberculosis,other_tuberculosis,typhoid,diptheria_and_croup,diptheria,croup,scarlet_fever,measles,whooping_cough,pneumonia,diarrhea_and_enteritis,diarrhea_under_five,cerebro_spinal_fever,polio,influenza,septicemia,cancer,external_causes,violence,smallpox
172,4,1919,class_1_cities,300000,34,6,1,2,...,...,0,3,0,59,2,...,0,0,22,1,17,19,...,0
173,4,1919,class_2_cities,355257,39,6,0,3,...,...,0,4,0,40,4,...,0,1,14,1,22,30,...,0
174,4,1919,class_3_cities,290018,33,3,11,4,...,...,3,2,0,59,5,...,0,0,50,2,26,32,...,0
175,4,1919,class_4_cities,165854,14,3,0,0,...,...,1,0,0,17,4,...,0,1,12,3,12,5,...,0
176,4,1919,class_5_cities,135780,7,3,0,0,...,...,0,0,0,16,4,...,0,0,8,0,17,8,...,0
177,5,1919,indiana,2948088,264,47,19,19,...,...,11,11,3,202,36,...,2,0,61,13,186,166,...,1
178,5,1919,northern_counties,1042514,79,19,15,8,...,...,5,9,0,81,15,...,1,0,19,6,63,59,...,0
179,5,1919,central_counties,1219131,119,1,1,10,...,...,3,2,1,82,15,...,0,0,28,4,84,77,...,1
180,5,1919,southern_counties,686443,66,8,3,1,...,...,3,0,2,39,6,...,1,0,14,3,39,30,...,0
181,5,1919,urban,1246909,116,21,14,9,...,...,3,8,0,112,24,...,0,0,25,4,80,88,...,1
182,5,1919,rural,1701179,148,26,5,10,...,...,8,3,3,90,12,...,2,0,36,9,106,78,...,0
183,5,1919,class_1_cities,300000,39,3,0,2,...,...,0,2,0,28,5,...,0,0,6,0,17,13,...,0
184,5,1919,class_2_cities,355257,28,5,6,1,...,...,0,5,0,32,6,...,0,0,6,1,26,27,...,0
185,5,1919,class_3_cities,290018,18,5,7,3,...,...,2,1,0,34,8,...,0,0,6,2,21,29,...,1
186,5,1919,class_4_cities,165854,17,4,0,2,...,...,1,0,0,12,4,...,0,0,6,0,7,7,...,0
187,5,1919,class_5_cities,135780,14,4,1,1,...,...,0,0,0,8,1,...,0,0,1,1,9,12,...,0
188,6,1919,indiana,2948088,202,29,20,19,...,...,4,5,4,67,55,...,2,1,25,11,214,183,...,2
189,6,1919,northern_counties,1042514,57,7,10,8,...,...,2,4,2,26,23,...,1,0,8,4,84,79,...,1
190,6,1919,central_counties,1219131,89,17,4,7,...,...,0,0,0,30,17,...,1,0,10,4,88,73,...,0
191,6,1919,southern_counties,686443,56,5,6,4,...,...,2,1,2,11,15,...,0,1,7,3,42,31,...,1
192,6,1919,urban,1246909,93,14,12,10,...,...,2,2,4,43,30,...,1,0,15,6,85,97,...,1
193,6,1919,rural,1701179,109,15,8,9,...,...,2,3,0,24,25,...,1,1,10,5,129,86,...,1
194,6,1919,class_1_cities,300000,27,7,1,2,...,...,0,0,0,13,5,...,1,0,2,2,20,23,...,0
195,6,1919,class_2_cities,355257,20,3,3,6,...,...,1,1,3,11,10,...,0,0,3,0,27,41,...,0
196,6,1919,class_3_cities,290018,27,2,6,0,...,...,1,0,1,12,9,...,0,0,5,3,13,20,...,1
197,6,1919,class_4_cities,165854,6,1,0,1,...,...,0,1,0,5,1,...,0,0,1,0,12,8,...,0
198,6,1919,class_5_cities,135780,13,1,2,1,...,...,0,0,0,2,5,...,0,0,4,1,13,5,...,0
199,7,1919,indiana,2948088,206,57,28,20,...,...,1,1,4,55,144,...,3,2,12,12,253,226,...,2
200,7,1919,northern_counties,1042514,61,18,9,3,...,...,1,1,2,26,44,...,2,1,3,6,91,94,...,0
201,7,1919,central_counties,1219131,90,27,10,15,...,...,0,0,1,20,55,...,1,1,8,6,115,96,...,2
202,7,1919,southern_counties,686443,55,12,9,2,...,...,0,0,1,9,45,...,0,0,1,0,47,36,...,0
203,7,1919,urban,1246909,102,28,14,9,...,...,0,1,4,29,77,...,1,1,2,11,111,109,...,1
204,7,1919,rural,1701179,104,29,14,11,...,...,1,0,0,26,67,...,2,1,10,1,142,117,...,1
205,7,1919,class_1_cities,300000,28,10,2,5,...,...,0,0,1,3,18,...,0,0,1,3,29,23,...,0
206,7,1919,class_2_cities,355257,31,4,1,1,...,...,0,0,2,7,19,...,1,0,0,4,27,34,...,0
