Month,Year,Region,Population,Births,"Total Deaths",Tuberculosis,"Pulmonary Tuberculosis","Other Forms, Tuberculosis","Typhoid Fever","Diptheria and Croup",Diptheria,Croup,"Scarlet Fever",Measles,"Whooping Cough",Pneumonia,"Diarrhea and Enteritis, Under 2 Years","Diarrheal Diseases, Under 5 Years",Meningitis,Poliomyelitis,Influenza,Puerperal,Cancer,"External Causes",Violence,Accidental,Suicide,Homicidal,Smallpox,Syphilis,"Heart Disease",Apoplexy,"Bright's Disease",Diabetes,Goiter
January,1917,"Cities, class 5",306546,...,466,...,38,6,5,4,...,...,0,5,2,72,8,...,0,0,18,0,30,21,...,...,...,...,0,...,...,...,...,...,...
February,1917,"Indiana (statewide)",2889615,5104,3786,...,314,48,25,31,...,...,16,74,20,657,39,...,1,2,174,21,211,210,...,...,...,...,0,...,...,...,...,...,...
February,1917,"Northern counties",1009364,1840,1277,...,74,12,16,7,...,...,9,22,7,236,24,...,0,1,45,6,82,77,...,...,...,...,0,...,...,...,...,...,...
February,1917,"Central counties",1191458,1994,1602,...,157,23,4,18,...,...,6,36,3,259,13,...,0,1,60,11,74,87,...,...,...,...,0,...,...,...,...,...,...
February,1917,"Southern counties",688793,1262,907,...,83,13,5,6,...,...,1,16,10,162,2,...,1,0,69,4,55,46,...,...,...,...,0,...,...,...,...,...,...
February,1917,Urban,1335134,...,1907,...,162,32,18,16,...,...,11,19,6,321,26,...,0,1,55,10,112,149,...,...,...,...,0,...,...,...,...,...,...
February,1917,Rural,1554481,...,1879,...,152,16,7,15,...,...,5,55,14,336,13,...,1,1,119,11,99,61,...,...,...,...,0,...,...,...,...,...,...
February,1917,"Cities, class 1",272338,...,423,...,41,7,0,8,...,...,0,5,2,75,2,...,0,0,8,1,22,36,...,...,...,...,0,...,...,...,...,...,...
February,1917,"Cities, class 2",289143,...,379,...,29,8,3,3,...,...,6,0,1,68,2,...,0,0,13,1,25,30,...,...,...,...,0,...,...,...,...,...,...
February,1917,"Cities, class 3",311158,...,508,...,41,4,8,2,...,...,1,5,2,106,15,...,0,0,8,6,20,48,...,...,...,...,0,...,...,...,...,...,...
February,1917,"Cities, class 4",155949,...,189,...,19,5,1,1,...,...,1,2,0,25,2,...,0,0,6,0,12,12,...,...,...,...,0,...,...,...,...,...,...
February,1917,"Cities, class 5",306546,...,408,...,32,8,6,2,...,...,3,7,1,47,5,...,0,1,20,2,33,23,...,...,...,...,0,...,...,...,...,...,...
March,1917,"Indiana (statewide)",2889615,5509,4016,...,360,48,22,31,...,...,16,141,22,597,69,...,11,1,99,20,238,272,...,...,...,...,1,...,...,...,...,...,...
March,1917,"Northern counties",1009364,2168,1424,...,100,13,13,5,...,...,10,22,9,252,34,...,2,0,21,7,98,95,...,...,...,...,0,...,...,...,...,...,...
March,1917,"Central counties",1191458,2063,1696,...,154,26,4,14,...,...,4,67,2,220,26,...,8,1,41,8,100,104,...,...,...,...,0,...,...,...,...,...,...
March,1917,"Southern counties",688793,1278,896,...,106,9,5,12,...,...,2,52,11,125,9,...,1,0,37,5,40,73,...,...,...,...,1,...,...,...,...,...,...
March,1917,Urban,1335134,...,2093,...,205,29,13,18,...,...,8,59,10,328,40,...,6,1,31,15,134,175,...,...,...,...,0,...,...,...,...,...,...
March,1917,Rural,1554481,...,1923,...,155,19,9,13,...,...,8,82,12,269,29,...,5,0,68,5,104,97,...,...,...,...,1,...,...,...,...,...,...
March,1917,"Cities, class 1",272338,...,441,...,48,5,1,6,...,...,0,11,0,64,6,...,4,0,4,3,25,20,...,...,...,...,0,...,...,...,...,...,...
March,1917,"Cities, class 2",289143,...,407,...,57,3,2,5,...,...,3,9,1,65,1,...,1,1,2,5,23,23,...,...,...,...,0,...,...,...,...,...,...
March,1917,"Cities, class 3",311158,...,597,...,41,12,7,1,...,...,3,15,5,105,25,...,1,0,7,4,39,82,...,...,...,...,0,...,...,...,...,...,...
March,1917,"Cities, class 4",155949,...,241,...,17,4,1,2,...,...,0,12,3,38,2,...,0,0,5,2,14,29,...,...,...,...,0,...,...,...,...,...,...
March,1917,"Cities, class 5",306546,...,407,...,42,5,2,4,...,...,2,12,1,56,6,...,0,0,13,1,33,21,...,...,...,...,0,...,...,...,...,...,...
April,1917,"Indiana (statewide)",2889615,4932,3432,...,327,50,15,33,...,...,18,149,27,349,64,...,11,4,57,17,200,222,...,...,...,...,1,...,...,...,...,...,...
April,1917,"Northern counties",1009364,1866,1137,...,74,13,7,8,...,...,12,33,8,130,38,...,2,1,16,4,71,90,...,...,...,...,0,...,...,...,...,...,...
April,1917,"Central counties",1191458,1953,1508,...,144,24,6,21,...,...,6,63,8,139,17,...,4,1,25,12,87,99,...,...,...,...,1,...,...,...,...,...,...
April,1917,"Southern counties",688793,1113,787,...,109,13,2,4,...,...,0,53,11,80,9,...,5,2,16,1,42,33,...,...,...,...,0,...,...,...,...,...,...
April,1917,Urban,1337022,...,1833,...,168,26,11,23,...,...,8,81,17,197,40,...,5,0,32,10,104,135,...,...,...,...,0,...,...,...,...,...,...
April,1917,Rural,1552593,...,1599,...,159,24,4,10,...,...,10,68,10,152,24,...,7,4,25,7,96,87,...,...,...,...,1,...,...,...,...,...,...
April,1917,"Cities, class 1",272338,...,433,...,36,8,1,10,...,...,1,15,1,46,5,...,3,0,7,2,23,32,...,...,...,...,0,...,...,...,...,...,...
April,1917,"Cities, class 2",291031,...,370,...,24,4,2,0,...,...,0,14,2,47,5,...,1,0,4,5,25,28,...,...,...,...,0,...,...,...,...,...,...
April,1917,"Cities, class 3",311158,...,475,...,44,8,3,6,...,...,5,32,7,60,23,...,1,0,10,0,26,39,...,...,...,...,0,...,...,...,...,...,...
April,1917,"Cities, class 4",155949,...,198,...,14,3,1,2,...,...,0,11,4,22,3,...,0,0,5,1,8,13,...,...,...,...,0,...,...,...,...,...,...
April,1917,"Cities, class 5",306546,...,357,...,50,3,4,5,...,...,2,9,3,22,4,...,0,0,6,2,22,23,...,...,...,...,0,...,...,...,...,...,...
May,1917,"Indiana (statewide)",2889615,4397,3279,...,345,35,22,24,...,...,25,91,23,247,59,...,6,2,23,15,216,261,...,...,...,...,3,...,...,...,...,...,...
May,1917,"Northern counties",1009364,1703,1174,...,114,11,13,8,...,...,14,31,5,102,39,...,3,0,6,4,74,106,...,...,...,...,0,...,...,...,...,...,...
May,1917,"Central counties",1191458,1716,1441,...,145,16,6,13,...,...,10,40,2,107,16,...,2,0,13,5,82,120,...,...,...,...,3,...,...,...,...,...,...
May,1917,"Southern counties",688793,978,664,...,86,8,3,3,...,...,1,20,16,38,4,...,1,2,4,6,60,35,...,...,...,...,0,...,...,...,...,...,...
May,1917,Urban,1337022,...,1766,...,182,21,18,20,...,...,17,53,9,161,46,...,4,1,13,8,97,143,...,...,...,...,1,...,...,...,...,...,...
May,1917,Rural,1552593,...,1513,...,163,14,4,4,...,...,8,38,14,86,13,...,2,1,10,7,119,118,...,...,...,...,2,...,...,...,...,...,...
May,1917,"Cities, class 1",272338,...,389,...,45,4,1,8,...,...,5,11,0,38,6,...,1,0,2,1,20,29,...,...,...,...,1,...,...,...,...,...,...
May,1917,"Cities, class 2",291031,...,335,...,38,3,6,3,...,...,0,5,1,23,5,...,2,0,1,3,22,30,...,...,...,...,0,...,...,...,...,...,...
May,1917,"Cities, class 3",311158,...,522,...,48,7,9,7,...,...,10,28,3,68,24,...,0,0,4,3,25,46,...,...,...,...,0,...,...,...,...,...,...
May,1917,"Cities, class 4",155949,...,166,...,21,1,1,0,...,...,0,2,1,11,2,...,1,0,1,0,6,10,...,...,...,...,0,...,...,...,...,...,...
May,1917,"Cities, class 5",306546,...,354,...,30,6,1,2,...,...,2,7,4,21,9,...,0,1,5,1,24,28,...,...,...,...,0,...,...,...,...,...,...
June,1917,"Indiana (statewide)",2889615,4640,2781,...,269,69,23,19,...,...,10,33,12,127,58,...,7,3,14,12,172,260,...,...,...,...,1,...,...,...,...,...,...
June,1917,"Northern counties",1009364,1774,1024,...,89,19,11,8,...,...,9,19,4,61,27,...,4,2,2,4,64,103,...,...,...,...,0,...,...,...,...,...,...
June,1917,"Central counties",1191458,1837,1201,...,111,33,7,10,...,...,0,12,1,51,15,...,3,1,8,7,77,115,...,...,...,...,0,...,...,...,...,...,...
June,1917,"Southern counties",688793,1029,556,...,69,17,5,1,...,...,1,2,7,15,16,...,0,0,4,1,31,42,...,...,...,...,1,...,...,...,...,...,...
June,1917,Urban,1337022,...,1496,...,144,38,14,13,...,...,6,23,8,82,38,...,5,2,7,8,97,142,...,...,...,...,0,...,...,...,...,...,...
June,1917,Rural,1552593,...,1285,...,125,31,9,6,...,...,4,10,4,45,20,...,2,1,7,4,75,118,...,...,...,...,1,...,...,...,...,...,...
June,1917,"Cities, class 1",272338,...,335,...,37,9,0,5,...,...,0,3,0,17,2,...,2,1,3,3,26,30,...,...,...,...,0,...,...,...,...,...,...
June,1917,"Cities, class 2",291031,...,314,...,28,8,5,1,...,...,1,5,3,19,9,...,2,0,0,1,21,30,...,...,...,...,0,...,...,...,...,...,...
June,1917,"Cities, class 3",311158,...,361,...,27,8,6,3,...,...,5,8,4,28,18,...,0,0,0,1,16,54,...,...,...,...,0,...,...,...,...,...,...
June,1917,"Cities, class 4",155949,...,176,...,13,6,0,1,...,...,0,1,0,5,4,...,0,0,2,0,17,13,...,...,...,...,0,...,...,...,...,...,...
June,1917,"Cities, class 5",306546,...,310,...,39,7,3,3,...,...,0,6,1,13,5,...,1,1,2,3,17,15,...,...,...,...,0,...,...,...,...,...,...
July,1917,"Indiana (statewide)",2889615,5362,2919,...,232,32,32,23,...,...,5,12,24,91,212,...,6,6,1,8,211,298,...,...,...,...,4,...,...,...,...,...,...
July,1917,"Northern counties",1009364,2115,951,...,59,7,10,6,...,...,0,5,5,35,58,...,3,4,0,1,79,120,...,...,...,...,1,...,...,...,...,...,...
July,1917,"Central counties",1191458,2122,1316,...,108,17,10,15,...,...,3,4,7,37,67,...,1,1,1,6,87,134,...,...,...,...,1,...,...,...,...,...,...
July,1917,"Southern counties",688793,1134,652,...,65,8,12,2,...,...,2,3,12,19,87,...,2,1,0,1,45,44,...,...,...,...,2,...,...,...,...,...,...
July,1917,Urban,1337022,...,1553,...,111,20,19,12,...,...,3,7,16,54,128,...,5,5,1,5,92,171,...,...,...,...,2,...,...,...,...,...,...
July,1917,Rural,1552593,...,1366,...,121,12,13,11,...,...,2,5,8,37,84,...,1,1,0,3,119,127,...,...,...,...,2,...,...,...,...,...,...
July,1917,"Cities, class 1",272338,...,363,...,36,9,2,8,...,...,2,2,1,15,25,...,0,0,0,0,14,28,...,...,...,...,1,...,...,...,...,...,...
July,1917,"Cities, class 2",291031,...,294,...,19,2,4,0,...,...,0,1,5,7,26,...,2,0,0,1,19,31,...,...,...,...,0,...,...,...,...,...,...
July,1917,"Cities, class 3",311158,...,413,...,22,3,7,4,...,...,0,4,6,25,45,...,1,5,1,1,23,63,...,...,...,...,0,...,...,...,...,...,...
July,1917,"Cities, class 4",155949,...,151,...,10,3,1,0,...,...,0,0,1,0,9,...,0,0,0,1,9,21,...,...,...,...,0,...,...,...,...,...,...
July,1917,"Cities, class 5",306546,...,332,...,24,3,5,0,...,...,1,0,3,7,23,...,2,0,0,2,27,28,...,...,...,...,1,...,...,...,...,...,...
August,1917,"Indiana (statewide)",2889615,5479,2989,...,250,54,63,19,...,...,2,1,24,69,346,...,2,1,3,19,210,264,...,...,...,...,0,...,...,...,...,...,...
August,1917,"Northern counties",1009364,2123,995,...,62,14,18,9,...,...,2,1,8,25,138,...,0,0,1,7,75,108,...,...,...,...,0,...,...,...,...,...,...
August,1917,"Central counties",1191458,2103,1317,...,117,25,19,8,...,...,0,0,7,34,117,...,1,0,1,11,90,109,...,...,...,...,0,...,...,...,...,...,...
August,1917,"Southern counties",688793,1253,677,...,71,15,26,2,...,...,0,0,9,10,91,...,1,1,1,1,45,47,...,...,...,...,0,...,...,...,...,...,...
August,1917,Urban,1337022,...,1629,...,133,33,36,11,...,...,2,1,15,43,232,...,2,0,1,16,87,167,...,...,...,...,0,...,...,...,...,...,...
August,1917,Rural,1552593,...,1360,...,117,21,27,8,...,...,0,0,9,26,114,...,0,0,2,3,123,97,...,...,...,...,0,...,...,...,...,...,...
August,1917,"Cities, class 1",272338,...,359,...,42,5,4,5,...,...,0,0,3,13,35,...,1,0,1,5,11,32,...,...,...,...,0,...,...,...,...,...,...
August,1917,"Cities, class 2",291031,...,333,...,27,4,9,2,...,...,0,0,2,3,47,...,0,0,0,6,18,38,...,...,...,...,0,...,...,...,...,...,...
August,1917,"Cities, class 3",311158,...,452,...,21,15,12,2,...,...,1,1,8,18,83,...,0,0,0,0,19,54,...,...,...,...,0,...,...,...,...,...,...
August,1917,"Cities, class 4",155949,...,146,...,14,2,3,1,...,...,1,0,0,2,20,...,0,0,0,0,10,15,...,...,...,...,0,...,...,...,...,...,...
August,1917,"Cities, class 5",306546,...,339,...,29,7,8,1,...,...,0,0,2,7,47,...,1,0,0,5,29,28,...,...,...,...,0,...,...,...,...,...,...
September,1917,"Indiana (statewide)",2889615,5235,3053,...,216,41,93,33,...,...,4,1,21,106,333,...,5,1,6,13,202,244,...,...,...,...,0,...,...,...,...,...,...
September,1917,"Northern counties",1009364,2027,1099,...,57,13,28,10,...,...,4,1,6,49,135,...,2,1,4,6,69,102,...,...,...,...,0,...,...,...,...,...,...
September,1917,"Central counties",1191458,2037,1317,...,98,17,36,23,...,...,0,0,9,43,131,...,3,0,2,2,89,99,...,...,...,...,0,...,...,...,...,...,...
September,1917,"Southern counties",688793,1171,637,...,61,11,29,0,...,...,0,0,6,14,67,...,0,0,0,5,44,43,...,...,...,...,0,...,...,...,...,...,...
September,1917,Urban,1337022,...,1558,...,115,20,54,26,...,...,2,0,15,68,200,...,2,0,2,10,93,150,...,...,...,...,0,...,...,...,...,...,...
September,1917,Rural,1552593,...,1495,...,101,21,39,7,...,...,2,1,6,38,133,...,3,1,4,3,109,94,...,...,...,...,0,...,...,...,...,...,...
September,1917,"Cities, class 1",272338,...,354,...,34,3,9,16,...,...,0,0,5,18,39,...,1,0,0,0,21,34,...,...,...,...,0,...,...,...,...,...,...
September,1917,"Cities, class 2",291031,...,311,...,20,3,19,2,...,...,0,0,5,10,29,...,1,0,0,4,13,39,...,...,...,...,0,...,...,...,...,...,...
September,1917,"Cities, class 3",311158,...,392,...,24,5,9,6,...,...,1,0,2,29,79,...,0,0,1,2,19,42,...,...,...,...,0,...,...,...,...,...,...
September,1917,"Cities, class 4",155949,...,180,...,11,1,8,0,...,...,0,0,0,4,23,...,0,0,0,3,12,14,...,...,...,...,0,...,...,...,...,...,...
September,1917,"Cities, class 5",306546,...,321,...,26,8,9,2,...,...,1,0,3,7,30,...,0,0,1,1,28,21,...,...,...,...,0,...,...,...,...,...,...
October,1917,"Indiana (statewide)",2889615,4957,2991,...,245,52,69,64,...,...,10,4,18,207,126,...,4,6,5,15,197,239,...,...,...,...,0,...,...,...,...,...,...
October,1917,"Northern counties",1009364,1947,1022,...,74,11,24,17,...,...,3,2,6,77,49,...,3,4,3,3,74,93,...,...,...,...,0,...,...,...,...,...,...
October,1917,"Central counties",1191458,1962,1299,...,112,30,24,34,...,...,4,2,8,86,42,...,1,1,1,9,93,101,...,...,...,...,0,...,...,...,...,...,...
October,1917,"Southern counties",688793,1048,670,...,59,11,21,13,...,...,3,0,4,44,35,...,0,1,1,3,30,45,...,...,...,...,0,...,...,...,...,...,...
October,1917,Urban,1337022,...,1597,...,122,32,32,42,...,...,10,2,5,125,72,...,0,5,3,12,105,130,...,...,...,...,0,...,...,...,...,...,...
October,1917,Rural,1552593,...,1394,...,123,20,37,22,...,...,0,2,13,82,54,...,4,1,2,3,92,109,...,...,...,...,0,...,...,...,...,...,...
October,1917,"Cities, class 1",272338,...,357,...,27,8,4,13,...,...,1,0,0,32,12,...,0,0,0,2,30,28,...,...,...,...,0,...,...,...,...,...,...
October,1917,"Cities, class 2",291031,...,335,...,24,3,11,10,...,...,1,0,3,22,16,...,0,0,2,2,25,25,...,...,...,...,0,...,...,...,...,...,...
October,1917,"Cities, class 3",311158,...,410,...,33,9,8,7,...,...,1,2,2,42,22,...,0,5,0,2,21,49,...,...,...,...,0,...,...,...,...,...,...
October,1917,"Cities, class 4",155949,...,179,...,15,3,2,4,...,...,2,0,0,6,7,...,0,0,0,3,11,13,...,...,...,...,0,...,...,...,...,...,...
October,1917,"Cities, class 5",306546,...,316,...,23,9,7,8,...,...,5,0,0,23,15,...,0,0,1,3,18,15,...,...,...,...,0,...,...,...,...,...,...
November,1917,"Indiana (statewide)",2889615,4612,2818,...,212,38,48,52,...,...,11,2,16,247,52,...,3,2,14,16,207,242,...,...,...,...,1,...,...,...,...,...,...
November,1917,"Northern counties",1009364,1853,959,...,53,8,10,24,...,...,3,2,5,89,24,...,2,0,7,5,74,95,...,...,...,...,0,...,...,...,...,...,...
November,1917,"Central counties",1191458,1770,1215,...,96,17,18,19,...,...,7,0,8,103,17,...,1,1,3,7,92,102,...,...,...,...,0,...,...,...,...,...,...
November,1917,"Southern counties",688793,989,644,...,63,13,20,9,...,...,1,0,3,55,11,...,0,1,4,4,41,45,...,...,...,...,1,...,...,...,...,...,...
November,1917,Urban,1335134,...,1550,...,112,22,23,34,...,...,4,2,8,141,37,...,3,0,3,11,106,145,...,...,...,...,1,...,...,...,...,...,...
November,1917,Rural,1554481,...,1268,...,100,16,25,18,...,...,7,0,8,106,15,...,0,2,11,5,101,97,...,...,...,...,0,...,...,...,...,...,...
November,1917,"Cities, class 1",272338,...,327,...,31,5,2,7,...,...,0,0,2,21,4,...,0,0,0,1,26,27,...,...,...,...,0,...,...,...,...,...,...
November,1917,"Cities, class 2",289143,...,324,...,34,5,3,6,...,...,0,0,1,31,7,...,2,0,0,1,22,27,...,...,...,...,0,...,...,...,...,...,...
November,1917,"Cities, class 3",311158,...,391,...,18,7,8,18,...,...,2,2,3,49,17,...,1,0,1,4,23,54,...,...,...,...,0,...,...,...,...,...,...
November,1917,"Cities, class 4",155949,...,159,...,8,2,4,1,...,...,2,0,2,15,3,...,0,0,1,3,10,10,...,...,...,...,0,...,...,...,...,...,...
November,1917,"Cities, class 5",306546,...,349,...,21,3,6,2,...,...,0,0,0,25,6,...,0,0,1,2,25,27,...,...,...,...,1,...,...,...,...,...,...
December,1917,"Indiana (statewide)",2889615,4732,3221,...,278,38,34,63,...,...,14,3,26,335,54,...,1,1,39,21,213,212,...,...,...,...,0,...,...,...,...,...,...
December,1917,"Northern counties",1009364,1821,1067,...,78,9,9,23,...,...,5,2,10,110,29,...,0,1,13,8,87,78,...,...,...,...,0,...,...,...,...,...,...
December,1917,"Central counties",1191458,1881,1452,...,124,20,15,33,...,...,8,0,9,158,18,...,1,0,14,11,82,92,...,...,...,...,0,...,...,...,...,...,...
December,1917,"Southern counties",688793,1030,702,...,76,9,10,7,...,...,1,1,7,67,7,...,0,0,12,2,44,42,...,...,...,...,0,...,...,...,...,...,...
December,1917,Urban,1337022,...,1766,...,149,18,19,43,...,...,6,1,24,175,36,...,1,1,19,14,111,147,...,...,...,...,0,...,...,...,...,...,...
December,1917,Rural,1552593,...,1455,...,129,20,15,20,...,...,8,2,2,160,18,...,0,0,20,7,102,65,...,...,...,...,0,...,...,...,...,...,...
December,1917,"Cities, class 1",272338,...,403,...,40,6,5,17,...,...,1,0,1,40,5,...,1,0,1,6,20,27,...,...,...,...,0,...,...,...,...,...,...
December,1917,"Cities, class 2",291031,...,352,...,26,4,4,5,...,...,2,0,7,30,4,...,0,0,3,2,21,30,...,...,...,...,0,...,...,...,...,...,...
December,1917,"Cities, class 3",311158,...,436,...,32,2,6,16,...,...,2,1,7,48,17,...,0,1,8,3,27,54,...,...,...,...,0,...,...,...,...,...,...
December,1917,"Cities, class 4",155949,...,196,...,18,2,0,2,...,...,1,0,3,26,3,...,0,0,1,1,13,10,...,...,...,...,0,...,...,...,...,...,...
December,1917,"Cities, class 5",306546,...,379,...,33,4,4,3,...,...,0,0,6,31,7,...,0,0,6,2,30,26,...,...,...,...,0,...,...,...,...,...,...
January,1918,"Indiana (statewide)",2911665,5071,3502,...,262,36,17,65,...,...,22,8,45,470,56,...,3,2,68,28,215,156,...,...,...,...,3,...,...,...,...,...,...
January,1918,"Northern counties",1016514,2068,1229,...,70,5,5,25,...,...,8,3,24,162,27,...,1,0,20,9,91,50,...,...,...,...,1,...,...,...,...,...,...
January,1918,"Central counties",1208708,1832,1509,...,118,21,7,29,...,...,8,2,11,205,20,...,2,1,24,9,92,75,...,...,...,...,2,...,...,...,...,...,...
January,1918,"Southern counties",686443,1171,764,...,74,10,5,11,...,...,6,3,10,103,9,...,0,1,24,10,32,31,...,...,...,...,0,...,...,...,...,...,...
January,1918,Urban,1210486,...,1688,...,121,21,7,29,...,...,7,3,16,242,32,...,3,0,18,18,104,92,...,...,...,...,3,...,...,...,...,...,...
January,1918,Rural,1701179,...,1814,...,141,15,10,36,...,...,15,5,29,228,24,...,0,2,50,10,111,64,...,...,...,...,0,...,...,...,...,...,...
January,1918,"Cities, class 1",289577,...,468,...,31,10,1,11,...,...,3,0,1,68,8,...,1,0,2,3,30,33,...,...,...,...,1,...,...,...,...,...,...
January,1918,"Cities, class 2",299257,...,385,...,27,5,4,6,...,...,0,0,3,59,6,...,1,0,3,8,22,21,...,...,...,...,0,...,...,...,...,...,...
January,1918,"Cities, class 3",320018,...,477,...,35,1,1,9,...,...,0,2,10,69,14,...,1,0,7,4,26,26,...,...,...,...,2,...,...,...,...,...,...
January,1918,"Cities, class 4",165854,...,190,...,13,3,1,0,...,...,3,1,0,27,4,...,0,0,2,1,14,3,...,...,...,...,0,...,...,...,...,...,...
January,1918,"Cities, class 5",135780,...,168,...,15,2,0,3,...,...,1,0,2,19,0,...,0,0,4,2,12,9,...,...,...,...,0,...,...,...,...,...,...
February,1918,"Indiana (statewide)",2911665,4930,3266,...,292,50,16,45,...,...,17,12,51,349,69,...,3,0,64,26,200,203,...,...,...,...,7,...,...,...,...,...,...
February,1918,"Northern counties",1016514,1977,1156,...,90,11,5,15,...,...,6,4,16,109,50,...,0,0,20,2,89,70,...,...,...,...,1,...,...,...,...,...,...
February,1918,"Central counties",1208708,1873,1333,...,108,29,1,22,...,...,8,5,20,151,11,...,1,0,25,20,69,99,...,...,...,...,3,...,...,...,...,...,...
February,1918,"Southern counties",686443,1080,777,...,94,10,10,8,...,...,3,3,15,89,8,...,2,0,19,4,42,34,...,...,...,...,3,...,...,...,...,...,...
February,1918,Urban,1210486,...,1560,...,137,25,7,22,...,...,9,4,19,189,53,...,2,0,17,10,94,106,...,...,...,...,3,...,...,...,...,...,...
February,1918,Rural,1701179,...,1706,...,155,25,9,23,...,...,8,8,32,160,16,...,1,0,47,16,106,97,...,...,...,...,4,...,...,...,...,...,...
February,1918,"Cities, class 1",289577,...,352,...,29,9,1,6,...,...,3,1,4,54,2,...,1,0,0,2,20,25,...,...,...,...,1,...,...,...,...,...,...
February,1918,"Cities, class 2",299257,...,364,...,29,1,1,5,...,...,0,0,2,47,4,...,0,0,3,5,27,24,...,...,...,...,0,...,...,...,...,...,...
February,1918,"Cities, class 3",320018,...,482,...,40,8,4,10,...,...,1,1,8,45,36,...,1,0,9,1,25,41,...,...,...,...,1,...,...,...,...,...,...
February,1918,"Cities, class 4",165854,...,178,...,22,5,1,0,...,...,1,1,3,25,0,...,0,0,3,1,7,8,...,...,...,...,0,...,...,...,...,...,...
February,1918,"Cities, class 5",135780,...,184,...,17,2,0,1,...,...,4,1,2,18,11,...,0,0,2,1,15,8,...,...,...,...,1,...,...,...,...,...,...
March,1918,"Indiana (statewide)",2911665,5639,3737,...,360,52,23,42,...,...,18,20,77,458,95,...,6,2,67,32,253,236,...,...,...,...,2,...,...,...,...,...,...
March,1918,"Northern counties",1016514,2211,1351,...,96,15,16,16,...,...,8,5,23,148,63,...,1,0,21,11,104,103,...,...,...,...,1,...,...,...,...,...,...
March,1918,"Central counties",1208708,2198,1559,...,156,22,3,19,...,...,10,7,29,199,25,...,5,1,23,18,107,84,...,...,...,...,1,...,...,...,...,...,...
March,1918,"Southern counties",686443,1230,827,...,108,15,4,7,...,...,0,8,25,111,7,...,0,1,23,3,42,49,...,...,...,...,0,...,...,...,...,...,...
March,1918,Urban,1210486,...,1789,...,152,25,17,18,...,...,12,10,37,251,70,...,4,0,26,22,116,128,...,...,...,...,2,...,...,...,...,...,...
March,1918,Rural,1701179,...,1948,...,208,27,6,24,...,...,6,10,40,207,25,...,2,2,41,10,137,108,...,...,...,...,0,...,...,...,...,...,...
March,1918,"Cities, class 1",289577,...,436,...,46,6,1,5,...,...,5,1,9,67,8,...,3,0,2,10,28,20,...,...,...,...,0,...,...,...,...,...,...
March,1918,"Cities, class 2",299257,...,398,...,40,3,3,2,...,...,2,3,3,61,9,...,0,0,7,4,27,31,...,...,...,...,1,...,...,...,...,...,...
March,1918,"Cities, class 3",320018,...,553,...,36,12,10,7,...,...,1,3,14,81,40,...,1,0,14,3,25,48,...,...,...,...,0,...,...,...,...,...,...
March,1918,"Cities, class 4",165854,...,229,...,20,3,1,1,...,...,4,3,5,25,7,...,0,0,2,3,14,13,...,...,...,...,1,...,...,...,...,...,...
March,1918,"Cities, class 5",135780,...,173,...,10,1,2,3,...,...,0,0,6,17,6,...,0,0,1,2,22,16,...,...,...,...,0,...,...,...,...,...,...
April,1918,"Indiana (statewide)",2911665,5487,3959,...,383,66,26,47,...,...,17,29,108,556,72,...,11,1,126,29,194,207,...,...,...,...,3,...,...,...,...,...,...
April,1918,"Northern counties",1016514,2215,1388,...,98,13,11,15,...,...,6,8,20,233,42,...,1,1,48,7,70,82,...,...,...,...,1,...,...,...,...,...,...
April,1918,"Central counties",1208708,2127,1759,...,183,36,9,26,...,...,10,11,63,225,25,...,8,0,44,16,85,84,...,...,...,...,1,...,...,...,...,...,...
April,1918,"Southern counties",686443,1145,812,...,102,17,6,6,...,...,1,10,25,98,5,...,2,0,34,6,39,41,...,...,...,...,1,...,...,...,...,...,...
April,1918,Urban,1210486,...,2028,...,183,35,14,32,...,...,10,9,49,364,57,...,8,0,66,19,94,122,...,...,...,...,1,...,...,...,...,...,...
April,1918,Rural,1701179,...,1931,...,200,31,12,15,...,...,7,20,59,192,15,...,3,1,60,10,100,85,...,...,...,...,2,...,...,...,...,...,...
April,1918,"Cities, class 1",289577,...,522,...,53,11,0,9,...,...,8,1,10,100,14,...,4,0,7,2,19,24,...,...,...,...,0,...,...,...,...,...,...
April,1918,"Cities, class 2",299257,...,469,...,52,6,2,7,...,...,0,1,13,76,6,...,3,0,22,4,29,29,...,...,...,...,0,...,...,...,...,...,...
April,1918,"Cities, class 3",320018,...,602,...,37,10,10,9,...,...,1,4,11,125,27,...,1,0,22,7,27,47,...,...,...,...,0,...,...,...,...,...,...
April,1918,"Cities, class 4",165854,...,209,...,20,4,1,3,...,...,1,2,7,34,1,...,0,0,8,3,11,9,...,...,...,...,1,...,...,...,...,...,...
April,1918,"Cities, class 5",135780,...,226,...,21,4,1,4,...,...,0,2,8,29,9,...,0,0,7,3,8,13,...,...,...,...,0,...,...,...,...,...,...
May,1918,"Indiana (statewide)",2911665,5136,3196,...,292,60,19,25,...,...,10,26,59,270,56,...,4,2,51,22,185,198,...,...,...,...,3,...,...,...,...,...,...
May,1918,"Northern counties",1016514,2013,1111,...,81,19,7,8,...,...,3,8,15,103,25,...,1,2,20,8,73,76,...,...,...,...,1,...,...,...,...,...,...
May,1918,"Central counties",1208708,1989,1420,...,144,27,7,15,...,...,6,8,29,119,18,...,3,0,26,3,81,82,...,...,...,...,0,...,...,...,...,...,...
