Month,Year,Region,Population,"Pulmonary Tuberculosis","Other Forms, Tuberculosis","Typhoid Fever","Diptheria and Croup",Diptheria,Croup,"Scarlet Fever",Measles,"Whooping Cough",Pneumonia,"Diarrhea and Enteritis, Under 2 Years","Diarrheal Diseases, Under 5 Years","Cerebro-Spinal Fever",Poliomyelitis,Influenza,"Puerperal Septicemia",Cancer,"External Causes",Violence,Smallpox
March,1917,"Cities, class 5",306546,42,5,2,4,...,...,2,12,1,56,6,...,0,0,13,1,33,21,...,0
April,1917,"Indiana (statewide)",2889615,327,50,15,33,...,...,18,149,27,349,64,...,11,4,57,17,200,222,...,1
April,1917,"Northern counties",1009364,74,13,7,8,...,...,12,33,8,130,38,...,2,1,16,4,71,90,...,0
April,1917,"Central counties",1191458,144,24,6,21,...,...,6,63,8,139,17,...,4,1,25,12,87,99,...,1
April,1917,"Southern counties",688793,109,13,2,4,...,...,0,53,11,80,9,...,5,2,16,1,42,33,...,0
April,1917,Urban,1337022,168,26,11,23,...,...,8,81,17,197,40,...,5,0,32,10,104,135,...,0
April,1917,Rural,1552593,159,24,4,10,...,...,10,68,10,152,24,...,7,4,25,7,96,87,...,1
April,1917,"Cities, class 1",272338,36,8,1,10,...,...,1,15,1,46,5,...,3,0,7,2,23,32,...,0
April,1917,"Cities, class 2",291031,24,4,2,0,...,...,0,14,2,47,5,...,1,0,4,5,25,28,...,0
April,1917,"Cities, class 3",311158,44,8,3,6,...,...,5,32,7,60,23,...,1,0,10,0,26,39,...,0
April,1917,"Cities, class 4",155949,14,3,1,2,...,...,0,11,4,22,3,...,0,0,5,1,8,13,...,0
April,1917,"Cities, class 5",306546,50,3,4,5,...,...,2,9,3,22,4,...,0,0,6,2,22,23,...,0
May,1917,"Indiana (statewide)",2889615,345,35,22,24,...,...,25,91,23,247,59,...,6,2,23,15,216,261,...,3
May,1917,"Northern counties",1009364,114,11,13,8,...,...,14,31,5,102,39,...,3,0,6,4,74,106,...,0
May,1917,"Central counties",1191458,145,16,6,13,...,...,10,40,2,107,16,...,2,0,13,5,82,120,...,3
May,1917,"Southern counties",688793,86,8,3,3,...,...,1,20,16,38,4,...,1,2,4,6,60,35,...,0
May,1917,Urban,1337022,182,21,18,20,...,...,17,53,9,161,46,...,4,1,13,8,97,143,...,1
May,1917,Rural,1552593,163,14,4,4,...,...,8,38,14,86,13,...,2,1,10,7,119,118,...,2
May,1917,"Cities, class 1",272338,45,4,1,8,...,...,5,11,0,38,6,...,1,0,2,1,20,29,...,1
May,1917,"Cities, class 2",291031,38,3,6,3,...,...,0,5,1,23,5,...,2,0,1,3,22,30,...,0
May,1917,"Cities, class 3",311158,48,7,9,7,...,...,10,28,3,68,24,...,0,0,4,3,25,46,...,0
May,1917,"Cities, class 4",155949,21,1,1,0,...,...,0,2,1,11,2,...,1,0,1,0,6,10,...,0
May,1917,"Cities, class 5",306546,30,6,1,2,...,...,2,7,4,21,9,...,0,1,5,1,24,28,...,0
June,1917,"Indiana (statewide)",2889615,269,69,23,19,...,...,10,33,12,127,58,...,7,3,14,12,172,260,...,1
June,1917,"Northern counties",1009364,89,19,11,8,...,...,9,19,4,61,27,...,4,2,2,4,64,103,...,0
June,1917,"Central counties",1191458,111,33,7,10,...,...,0,12,1,51,15,...,3,1,8,7,77,115,...,0
June,1917,"Southern counties",688793,69,17,5,1,...,...,1,2,7,15,16,...,0,0,4,1,31,42,...,1
June,1917,Urban,1337022,144,38,14,13,...,...,6,23,8,82,38,...,5,2,7,8,97,142,...,0
June,1917,Rural,1552593,125,31,9,6,...,...,4,10,4,45,20,...,2,1,7,4,75,118,...,1
June,1917,"Cities, class 1",272338,37,9,0,5,...,...,0,3,0,17,2,...,2,1,3,3,26,30,...,0
June,1917,"Cities, class 2",291031,28,8,5,1,...,...,1,5,3,19,9,...,2,0,0,1,21,30,...,0
June,1917,"Cities, class 3",311158,27,8,6,3,...,...,5,8,4,28,18,...,0,0,0,1,16,54,...,0
June,1917,"Cities, class 4",155949,13,6,0,1,...,...,0,1,0,5,4,...,0,0,2,0,17,13,...,0
June,1917,"Cities, class 5",306546,39,7,3,3,...,...,0,6,1,13,5,...,1,1,2,3,17,15,...,0
July,1917,"Indiana (statewide)",2889615,232,32,32,23,...,...,5,12,24,91,212,...,6,6,1,8,211,298,...,4
July,1917,"Northern counties",1009364,59,7,10,6,...,...,0,5,5,35,58,...,3,4,0,1,79,120,...,1
July,1917,"Central counties",1191458,108,17,10,15,...,...,3,4,7,37,67,...,1,1,1,6,87,134,...,1
July,1917,"Southern counties",688793,65,8,12,2,...,...,2,3,12,19,87,...,2,1,0,1,45,44,...,2
July,1917,Urban,1337022,111,20,19,12,...,...,3,7,16,54,128,...,5,5,1,5,92,171,...,2
July,1917,Rural,1552593,121,12,13,11,...,...,2,5,8,37,84,...,1,1,0,3,119,127,...,2
July,1917,"Cities, class 1",272338,36,9,2,8,...,...,2,2,1,15,25,...,0,0,0,0,14,28,...,1
July,1917,"Cities, class 2",291031,19,2,4,0,...,...,0,1,5,7,26,...,2,0,0,1,19,31,...,0
July,1917,"Cities, class 3",311158,22,3,7,4,...,...,0,4,6,25,45,...,1,5,1,1,23,63,...,0
July,1917,"Cities, class 4",155949,10,3,1,0,...,...,0,0,1,0,9,...,0,0,0,1,9,21,...,0
July,1917,"Cities, class 5",306546,24,3,5,0,...,...,1,0,3,7,23,...,2,0,0,2,27,28,...,1
August,1917,"Indiana (statewide)",2889615,250,54,63,19,...,...,2,1,24,69,346,...,2,1,3,19,210,264,...,0
August,1917,"Northern counties",1009364,62,14,18,9,...,...,2,1,8,25,138,...,0,0,1,7,75,108,...,0
August,1917,"Central counties",1191458,117,25,19,8,...,...,0,0,7,34,117,...,1,0,1,11,90,109,...,0
August,1917,"Southern counties",688793,71,15,26,2,...,...,0,0,9,10,91,...,1,1,1,1,45,47,...,0
August,1917,Urban,1337022,133,33,36,11,...,...,2,1,15,43,232,...,2,0,1,16,87,167,...,0
August,1917,Rural,1552593,117,21,27,8,...,...,0,0,9,26,114,...,0,0,2,3,123,97,...,0
August,1917,"Cities, class 1",272338,42,5,4,5,...,...,0,0,3,13,35,...,1,0,1,5,11,32,...,0
August,1917,"Cities, class 2",291031,27,4,9,2,...,...,0,0,2,3,47,...,0,0,0,6,18,38,...,0
August,1917,"Cities, class 3",311158,21,15,12,2,...,...,1,1,8,18,83,...,0,0,0,0,19,54,...,0
August,1917,"Cities, class 4",155949,14,2,3,1,...,...,1,0,0,2,20,...,0,0,0,0,10,15,...,0
August,1917,"Cities, class 5",306546,29,7,8,1,...,...,0,0,2,7,47,...,1,0,0,5,29,28,...,0
September,1917,"Indiana (statewide)",2889615,216,41,93,33,...,...,4,1,21,106,333,...,5,1,6,13,202,244,...,0
September,1917,"Northern counties",1009364,57,13,28,10,...,...,4,1,6,49,135,...,2,1,4,6,69,102,...,0
September,1917,"Central counties",1191458,98,17,36,23,...,...,0,0,9,43,131,...,3,0,2,2,89,99,...,0
September,1917,"Southern counties",688793,61,11,29,0,...,...,0,0,6,14,67,...,0,0,0,5,44,43,...,0
September,1917,Urban,1337022,115,20,54,26,...,...,2,0,15,68,200,...,2,0,2,10,93,150,...,0
September,1917,Rural,1552593,101,21,39,7,...,...,2,1,6,38,133,...,3,1,4,3,109,94,...,0
September,1917,"Cities, class 1",272338,34,3,9,16,...,...,0,0,5,18,39,...,1,0,0,0,21,34,...,0
September,1917,"Cities, class 2",291031,20,3,19,2,...,...,0,0,5,10,29,...,1,0,0,4,13,39,...,0
September,1917,"Cities, class 3",311158,24,5,9,6,...,...,1,0,2,29,79,...,0,0,1,2,19,42,...,0
September,1917,"Cities, class 4",155949,11,1,8,0,...,...,0,0,0,4,23,...,0,0,0,3,12,14,...,0
September,1917,"Cities, class 5",306546,26,8,9,2,...,...,1,0,3,7,30,...,0,0,1,1,28,21,...,0
October,1917,"Indiana (statewide)",2889615,245,52,69,64,...,...,10,4,18,207,126,...,4,6,5,15,197,239,...,0
