Month,Year,Region,Population,Pulmonary Tuberculosis,"Other Forms, Tuberculosis",Typhoid Fever,Diptheria and Croup,Scarlet Fever,Measles,Whooping Cough,Lobar and Broncho Pneumonia,"Diarrhea and Enteritis, Under 2 Years",Cerebro-Spinal Fever,Acute Anterior Poliomyelitis,Influenza,Puerperal Septicemia,Cancer,External Causes,Smallpox
February,1920,Central counties,1219131,131,23,5,8,17,19,6,601,17,,,494,14,91,56,
February,1920,Southern counties,686443,94,7,4,8,7,10,6,197,7,1,,238,2,36,34,1
February,1920,All cities,1246909,144,17,10,17,15,23,7,686,32,1,,524,16,94,68,2
February,1920,"Over 100,000",300000,32,6,3,,3,1,3,195,10,,,127,2,22,14,
February,1920,"45,000 to 100,000",355257,41,1,1,3,4,3,2,199,7,1,,108,6,27,25,1
February,1920,"20,000 to 45,000",290018,41,4,3,8,7,11,1,171,10,,,138,4,21,20,
February,1920,"10,000 to 20,000",165854,14,2,1,2,,6,1,64,2,,,78,4,11,6,
February,1920,"Under 10,000",135780,16,4,2,4,1,2,,57,3,,,73,,13,3,1
February,1920,Country,1701179,165,21,9,8,22,18,10,540,9,1,,708,10,108,77,
March,1920,State,2948088,276,33,13,21,27,65,22,544,53,2,,407,33,215,199,2
March,1920,Northern counties,1042514,81,16,6,7,18,18,10,166,30,1,,117,13,78,104,1
March,1920,Central counties,1219131,118,14,6,9,7,24,4,236,15,1,,136,14,91,74,1
March,1920,Southern counties,686443,77,3,1,5,2,23,8,142,8,,,154,6,46,21,
March,1920,All cities,1246909,140,23,9,11,13,31,14,269,36,,,130,14,89,100,
March,1920,"Over 100,000",300000,27,4,3,3,2,2,2,65,4,,,22,3,20,18,
March,1920,"45,000 to 100,000",355257,50,7,1,1,2,1,3,68,11,,,38,4,29,36,
March,1920,"20,000 to 45,000",290018,30,10,5,7,6,14,5,75,13,,,31,5,24,33,
March,1920,"10,000 to 20,000",165854,15,2,,,2,4,2,26,4,,,20,1,8,9,
March,1920,"Under 10,000",135780,18,,,,1,10,2,35,4,,,19,1,8,4,
March,1920,Country,1701179,136,10,4,10,14,34,8,275,17,2,,277,9,126,99,2
April,1920,State,2948088,277,41,9,21,16,60,18,278,36,,1,97,31,203,159,2
